name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary;average_salary
Data Engineer (Fulfillment);Tesco Technology;Mid;['Data', 'Hadoop', 'Scala', 'Kafka', 'Kubernetes', 'Spark', 'Angielski (B2)'];['Spark Streaming', 'Hive', 'Functional programming'];Kraków;data engineer;20000.0;30000.0;PLN;;25000.0
Data Engineer;Talent Hills;Mid;['Data', 'Python', 'Spark', 'Hive', 'Scala', 'Snowflake', 'AWS', 'Airflow', 'Athena', 'Kubernetes', 'SQL', 'MySQL', 'PostgreSQL', 'Polski', 'Angielski'];['Ruby on Rails', 'Golang'];Warszawa;data engineer;13000.0;24000.0;PLN;;18500.0
Data Engineer;Harvey Nash Technology;Mid;['Data', 'Data engineering', 'Hive', 'Spark', 'Python', 'SQL', 'Angielski'];['Snowflake', 'AWS', 'Flask', 'REST API'];Warszawa;data engineer;18000.0;24000.0;PLN;;21000.0
Data Engineer;AllSTARSIT;Senior;['Data', 'Python', 'Data engineering', 'Angielski (B2)'];['AI', 'Hadoop', 'ML', 'Quality control', 'AWS Cloud', 'MLOps', 'CI', 'CD', 'Machine learning', 'Data mining', 'pandas', 'scikit-learn', 'PyTorch', 'Docker'];Praca zdalna;data engineer;;;;Brak widełki;
Senior GCP Data Engineer;Link Group;Senior;['Data', 'GCP', 'BigQuery', 'Cloud Functions', 'Cloud Run', 'Workflows', 'Dataflow', 'Git', 'SQL', 'Java', 'Python', 'DWH', 'Data Lake', 'Lakehouse', 'Polski', 'Angielski (B2)'];['Docker', 'Kubernetes', 'Terraform', 'dbt', 'ETL', 'Fivetran', 'CI/CD'];Praca zdalna;data engineer;23520.0;28560.0;PLN;;26040.0
Data Curator for AI (Data Engineer);Intergraph Polska Sp. z o.o.;Senior;['AI', 'Data analysis', 'Angielski (B2)'];['Phyton', 'Cloud', 'Machine Learning'];Łódź;data engineer;;;;Brak widełki;
Contractor Big Data Engineer;OpenNet.pl Sp. z o.o.;Senior;['Data', 'Scala', 'Python', 'Java', 'Spark', 'Apache Beam', 'GCP', 'Azure', 'AWS', 'TDD', 'CI/CD', 'Unix', 'Linux', 'Angielski (B2)'];Brak;['Kraków', 'Warszawa'];data engineer;14200.0;25410.0;PLN;;19805.0
Big Data Engineer IV;OpenX;Senior;['Backend', 'Scala', 'Cloud', 'Kubernetes', 'Java', 'Polski', 'Angielski'];['Docker', 'Spark', 'Jenkins', 'Hadoop', 'Data engineering', 'Python'];Praca zdalna;data engineer;30240.0;34944.0;PLN;;32592.0
Data Engineer;Xebia Sp. z o.o.;Mid;['Data', 'EXCEL', 'powershell', 'SQL Server', 'Azure DevOps', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;18000.0;31000.0;PLN;;24500.0
Senior Data Engineer;Altimetrik Poland;Senior;['Data', 'SQL', 'ETL', 'Tableau', 'Data modeling', 'AWS', 'Power BI', 'CI/CD', 'Data warehouse', 'Python', 'PySpark', 'Data engineering', 'Storage', 'Snowflake', 'AWS S3', 'AWS EC', 'Data modelling', 'Design Patterns', 'Airflow', 'Control-M', 'DevOps', 'Continuous deployment', 'CD', 'Data visualization', 'BI', 'Polski (NATIVE)', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;22000.0;26000.0;PLN;;24000.0
Data Engineer;hubQuest;Mid;['Data', 'Python', 'PySpark', 'Azure', 'SQL', 'Databricks', 'Angielski (C1)', 'Polski (C1)'];['Terraform', 'dbt'];Praca zdalna;data engineer;25000.0;30000.0;PLN;;27500.0
Data Engineer;7N;Senior;['Data', 'Python', 'SQL', 'Power BI', 'CA', 'Angielski'];['CI/CD', 'Kubernetes', 'GCP', 'Airflow', 'Workato', 'dbt', 'Snowflake', 'Fivetran'];Warszawa;data engineer;26880.0;33600.0;PLN;;30240.0
Remote Data Engineer;Kingfisher plc.;Mid;['Data', 'Python', 'AWS', 'Angielski (B2)', 'Polski'];['Data modelling', 'Storage', 'Azure Cloud'];Praca zdalna;data engineer;15000.0;19000.0;PLN;;17000.0
Junior Data Engineer / Python Developer;Alterdata.io sp. z o.o.;Junior;['Data', 'Python', 'SQL', 'Problem solving', 'Git', 'Communication skills', 'Data Engineering', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'AWS', 'Google Cloud Platform', 'Airflow', 'Spark', 'Snowflake', 'DBT', 'BigQuery', 'Azure Data Factory', 'ETL', 'Databricks', 'Docker', 'Container'];Praca zdalna;data engineer;7000.0;11000.0;PLN;;9000.0
Data Engineer with Microsoft Fabric;AVENGA;Mid;['Data', 'SQL', 'Python', 'Apache Spark', 'Databricks', 'Lakehouse Patterns', 'Medallion Architecture', 'Azure Data Services', 'Angielski (B2)', 'Polski (NATIVE)'];Brak;Praca zdalna;data engineer;20160.0;23520.0;PLN;;21840.0
Data Engineer (AWS);Onwelo S.A.;Mid;['Business Intelligence', 'Python', 'REST', 'Docker', 'SQL', 'AWS', 'AWS EC2', 'Redshift', 'DWH', 'BI', 'Shell', 'Bash', 'Spark', 'AWS Cloud', 'PowerBI', 'Tableau', 'Angielski', 'Polski'];Brak;Praca zdalna;data engineer;15750.0;17850.0;PLN;;16800.0
Data Engineer;Remitly Poland sp. z o.o.;Mid;['Data', 'Storage', 'Version control system', 'RDBMS', 'Angielski', 'Polski'];['Kubernetes', 'Docker'];Kraków;data engineer;20000.0;28000.0;PLN;;24000.0
Master Data Management Engineer;Devire Sp. z o.o.;Senior;['Data', 'Data management', 'Informatica', 'MDM', 'Informatica PowerCenter', 'ETL', 'SQL', 'Relational database', 'Communication skills', 'Degree', 'Angielski (B2)', 'Polski'];Brak;Praca zdalna;data engineer;25200.0;30240.0;PLN;;27720.0
Data Engineer with GCP;GFT Poland;Mid;['Data', 'SQL', 'Data modeling', 'BigQuery', 'Google cloud platform', 'Python', 'Angielski (B2)'];['Tableau', 'Qlik Sense', 'Power BI'];Praca zdalna;data engineer;15120.0;26040.0;PLN;;20580.0
Data Engineer;ITDS;Senior;['Data', 'Python', 'Scala', 'Unix', 'Linux', 'Hadoop', 'Apache Hadoop', 'Spark', 'Yarn', 'Hive', 'SQL', 'Elasticsearch', 'Git', 'GitHub', 'Ansible', 'Jenkins', 'Shell', 'Data modeling', 'SDLC', 'Angielski'];['Cloud', 'Design Patterns', 'Communication skills', 'REST API', 'Java', 'Spring Boot'];Kraków;data engineer;19300.0;26040.0;PLN;;22670.0
Principal Data Engineer;Digital Hub Warsaw at Bayer;Senior;['Data', 'Golang', 'Kafka', 'REST API', 'Cloud', 'CI/CD', 'Git', 'Kubernetes', 'SQL', 'NoSQL', 'Angielski (NATIVE)'];['Terraform', 'Machine learning', 'Python'];Warszawa;data engineer;32000.0;42000.0;PLN;;37000.0
Senior Data Engineer (Manager);Data Science UA;Senior;['Data', 'Python', 'Data engineering', 'SQL', 'Azure Cloud', 'Azure Data Factory', 'dbt', 'Terraform', 'ETL', 'Git', 'Angielski (C1)'];Brak;Praca zdalna;data engineer;17811.0;19394.0;PLN;;18602.5
Professional Data Engineer;AVENGA;Mid;['Data', 'Snowflake', 'ETL', 'Python', 'SQL', 'ServiceNow', 'Angielski', 'Polski'];Brak;Praca zdalna;data engineer;130.0;145.0;PLN;;137.5
Data Engineer;CHI Software;Mid;['Data', 'Snowflake', 'SQL', 'Python', 'Analytical skills', 'Data mapping', 'Data analysis', 'Data modelling', 'ETL', 'Data pipelines', 'Data engineering', 'AWS', 'dbt', 'Communication skills', 'Angielski (B2)'];['Data visualization'];Praca zdalna;data engineer;9895.0;19790.0;PLN;;14842.5
Data Engineer;Asana;Senior;['Data', 'Enterprise iPass', 'Snaplogic', 'SQL', 'Python', 'Scala', 'AWS S3', 'Redshift', 'Angielski'];['Looker', 'Tableau', 'Periscope', 'MicroStrategy', 'Pentaho', 'Snowflake'];Warszawa;data engineer;18666.0;29833.0;PLN;;24249.5
Data Engineer - Fulfillment (part time);Tesco Technology;Mid;['Data', 'Hadoop', 'Scala', 'Kafka', 'Kubernetes', 'Spark', 'apachespark', 'Airflow', 'Angielski (B2)'];['Spark Streaming', 'Hive', 'Functional programming'];Kraków;data engineer;15000.0;23000.0;PLN;;19000.0
Senior Data Engineer (Finance Team);Falck Digital Technology Poland Sp. z o.o.;Senior;['Data', 'SQL', 'Azure', 'Python', 'PySpark', 'Databricks', 'DevOps', 'Git', 'Continuous integration', 'CAN', 'Angielski'];Brak;Warszawa;data engineer;20000.0;25000.0;PLN;;22500.0
Azure Data Engineer;C&F S.A.;Mid;['DevOps', 'Azure', 'DevOps', 'Git', 'Azure DevOps', 'Python', 'SQL', 'Angielski (C1)', 'Polski (C1)'];['Terraform', 'ARM'];Praca zdalna;data engineer;;;;Brak widełki;
Lead Data Engineer;N-iX;Expert;['Data', 'GCP', 'BigQuery', 'Microservices architecture', 'Python', 'Docker', 'SQL', 'Airflow', 'Angielski (B2)'];['Kubernetes', 'TypeScript', 'NestJS'];Praca zdalna;data engineer;24936.0;30477.0;PLN;;27706.5
Senior Data Engineer;Capgemini Polska Sp. z o.o.;Senior;['Data', 'Data mining', 'Data analysis', 'SQL', 'PostgreSQL', 'MySQL', 'Python', 'NumPy', 'scikit-learn', 'pandas', 'Functional programming', 'Big data', 'Spark', 'Hadoop', 'Databricks', 'Snowflake', 'Airflow', 'Communication skills', 'Angielski'];['Data visualization', 'Kibana', 'Grafana'];['Wrocław', 'Opole', 'Lublin', 'Gdańsk', 'Warszawa', 'Katowice', 'Poznań'];data engineer;;;;Brak widełki;
Senior Big Data Engineer (Python);Capgemini Polska Sp. z o.o.;Senior;['Data', 'Python', 'SQL', 'ETL', 'AWS', 'DBMS platforms', 'Angielski'];Brak;['Wrocław', 'Lublin', 'Opole', 'Gdańsk', 'Warszawa', 'Katowice', 'Kraków', 'Poznań'];data engineer;;;;Brak widełki;
Data Platform Engineer/Consultant - Team Leader;Elitmind;Mid;['Data', 'SQL Server', 'SSIS', 'ETL', 'Data warehouse', 'Team management', 'SQL', 'Angielski (B2)'];['Python', 'Snowflake', 'Databricks', 'Azure'];Praca zdalna;data engineer;17976.0;24024.0;PLN;;21000.0
Data Engineer;SquareOne;Mid;['Data', 'Python', 'Google Cloud Platform', 'SQL', 'ETL', 'Apache Airflow', 'AWS', 'Azure', 'Flask', 'Snowflake', 'Angielski (B2)', 'Polski (B2)'];['Jenkins', 'Kubernetes', 'Docker', 'Google Data Studio', 'Grafana'];Praca zdalna;data engineer;19000.0;25000.0;PLN;;22000.0
Remote Senior Data Engineer;Varwise;Senior;['Data', 'Spark', 'AWS', 'Linux', 'NoSQL', 'SQL', 'Kafka', 'Java', 'Scala', 'AWS Lambda', 'Glue', 'Athena', 'Cassandra', 'Neo4j', 'Databricks', 'PySpark', 'Angielski (C2)'];['Kinesis', 'Airflow', 'Jenkins', 'Datadog', 'Python', 'TensorFlow'];Praca zdalna;data engineer;29685.0;39581.0;PLN;;34633.0
Mid Big Data Engineer;Capco Poland;Mid;['Data', 'Big data', 'Scala', 'python', 'Angielski (B2)', 'Polski (B1)'];['Kafka', 'Degree', 'SQL', 'Spark', 'Hadoop', 'OOP', 'GCP'];Praca zdalna;data engineer;20160.0;25200.0;PLN;;22680.0
Senior Data Engineer;Globallogic;Senior;['Data', 'Python', 'Java', 'Scala', 'SQL', 'Terraform', 'AWS', 'Git', 'Docker', 'Airflow', 'Kubernetes', 'Angielski'];['Data build tool', 'Databricks'];Praca zdalna;data engineer;;;;Brak widełki;
Data Engineer;AVENGA;Mid;['Data', 'ETL', 'SQL', 'Python', 'Angielski (B2)'];Brak;Warszawa;data engineer;;;;Brak widełki;
QA Engineer - Data Lake & Data Warehouse Solutions;Shiji Poland;Mid;['Testing', 'SQL', 'QA Automation', 'Docker', 'Angielski (B1)'];['Postman', 'C#', 'Swagger'];Praca zdalna;data engineer;10080.0;15960.0;PLN;;13020.0
Data Engineer;BlueLabs;Senior;['Data', 'Spark', 'SQL', 'MongoDB', 'PostgreSQL', 'Python', 'Java', 'Kinesis', 'Degree', 'Flink', 'Data warehouses', 'Kafka', 'RabbitMQ', 'Data Lake', 'Continuous integration', 'Golang', 'Docker', 'Distributed computing', 'Angielski'];['Communication skills', 'Data modelling', 'Argo', 'BI', 'Looker', 'Terraform', 'IaC', 'Grafana', 'Big Data', 'Kubernetes', 'GCP', 'dbt'];Praca zdalna;data engineer;19643.0;33929.0;PLN;;26786.0
Cloud Data Engineering Team Lead;IPF Digital;Senior;['Data', 'SQL', 'AWS', 'Python', 'Linux', 'Confluence', 'OpenVPN', 'Jira', 'Bitbucket', 'Git', 'Snowflake', 'RDS', 'S3', 'Glue', 'DMS', 'Appflow', 'MySQL', 'english', 'Angielski (C1)', 'Polski (C1)'];['SnowPro Core'];Warszawa;data engineer;;;;Brak widełki;
Analytics Engineer;Sublime;Mid;['Data', 'SQL', 'Data visualization', 'Analytical skills', 'Communication skills', 'Polski', 'Angielski'];['Google BigQuery', 'Git', 'dbt', 'Visual Studio', 'Apache Airflow', 'Data engineering', 'Python'];Warszawa;data engineer;12000.0;16000.0;PLN;;14000.0
Lead Data Architect - Market Analytics;Digital Hub Warsaw at Bayer;Senior;['Data', 'Degree', 'Market analytics', 'Use cases', 'Analytical skills', 'Communication skills', 'SQL', 'Angielski'];['Databricks', 'Snowflake', 'Azure Data Factory', 'Azure Data Lake', 'Python', 'SAP', 'HANA', 'ETL', 'SQL', 'Cloud computing', 'Data management'];Warszawa;data engineer;24000.0;34000.0;PLN;;29000.0
AWS Data Solutions Architect;Nordcloud;Senior;['Data', 'Data engineering', 'Python', 'Scala', 'Airflow', 'Apache Spark', 'SQL', 'AWS', 'Angielski'];['Kubernetes', 'Docker', 'IaaC', 'Terraform', 'pandas', 'Composer', 'Big data'];Praca zdalna;data engineer;30240.0;38472.0;PLN;;34356.0
Big Data Developer (KYC);AVENGA;Mid;['Data', 'Java', 'Scala', 'Spark', 'Linux', 'Shell', 'SQL', 'Hadoop', 'Yarn', 'Hive', 'Git', 'Ansible', 'Bamboo', 'Angielski (B2)', 'Polski'];['Functional programming', 'Flink', 'Kafka', 'Data analysis', 'SAFe'];['Gdańsk', 'Gdynia', 'Warszawa', 'Łódź'];data engineer;20160.0;25200.0;PLN;;22680.0
Data Modeler;ITDS;Senior;['Data', 'Data models', 'Analyzing data', 'Relational database', 'XML', 'JSON', 'BIAN', 'IBM', 'BDW', 'Angielski'];Brak;Kraków;data engineer;21000.0;25000.0;PLN;;23000.0
Data Platform Architect;Elitmind;Senior;['Data', 'Azure', 'Data Factory', 'Databricks', 'SQL', 'ETL/ELT', 'Data Architecture', 'Data Platforms', 'Lakehouse', 'Azure Synapse', 'SQL Server', 'Data warehouses', 'Data Lake', 'Delta Live Table', 'UNITY', 'Communication skills', 'VNET', 'VM', 'Angielski (B2)'];['Data Governance', 'Professional Certification'];Praca zdalna;data engineer;26880.0;33936.0;PLN;;30408.0
Programista Hurtowni Danych;Connectis_;Mid;['Data', 'SQL', 'SSIS', 'MS SQL', 'ETL', 'Data management', 'T-SQL', 'Polski', 'Angielski'];['PowerShell', '.NET', 'Enterprise Architect'];Praca zdalna;data engineer;20000.0;24000.0;PLN;;22000.0
Data Warehouse Administrator (Oracle and ODI);Sigma IT Poland;Senior;['Data', 'Data warehouse', 'Oracle database', 'SQL', 'PL/SQL', 'ODI', 'Angielski (C1)'];['Snowflake', 'Matillion'];Praca zdalna;data engineer;20160.0;25200.0;PLN;;22680.0
ETL Developer;PKO Finat Sp. z o.o.;Mid;['Backend', 'SQL', 'Oracle', 'Informatica', 'BI', 'Microsoft SQL Server', 'Angielski'];Brak;Warszawa;data engineer;;;;Brak widełki;
Senior Data Architect – Supply Chain Analytics;Digital Hub Warsaw at Bayer;Senior;['Data', 'Degree', 'Data engineering', 'Azure Data Lake', 'Databricks', 'Snowflake', 'SQL', 'Python', 'BI', 'Tableau', 'Data management', 'Analytical skills', 'Communication skills', 'Angielski'];Brak;Warszawa;data engineer;20000.0;28500.0;PLN;;24250.0
Lead Big Data Developer;EPAM;Expert;['Data', 'Big Data', 'Python', 'Scala', 'Java', 'Spark', 'Databricks', 'Azure', 'Degree', 'AWS', 'Angielski'];['Hadoop', 'Kafka', 'Airflow', 'HDFS', 'Yarn', 'Message queue', 'Lucene'];Praca zdalna;data engineer;26500.0;31500.0;PLN;;29000.0
