name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary
Data Platform Engineer/Consultant;Elitmind;Mid;['Business Intelligence', 'English', 'SQL', 'ETL', 'Azure', 'Polski', 'Angielski (B2)'];['Databricks', 'Snowflake', 'Python', 'Data Modelling skills'];Praca zdalna;data engineer;13944;19992;PLN;
Data Engineer;Asana;Senior;['Data', 'Enterprise iPass', 'Snaplogic', 'SQL', 'Python', 'Scala', 'AWS S3', 'Redshift', 'Angielski'];['Looker', 'Tableau', 'Periscope', 'MicroStrategy', 'Pentaho', 'Snowflake'];Warszawa;data engineer;18666;29833;PLN;
Senior Data Engineer - Remote;Link Group;Senior;['Data', 'Python', 'SQL', 'Azure', 'Spark', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;28560;35280;PLN;
Data Engineer with GCP;GFT Poland;Mid;['Data', 'SQL', 'Data modeling', 'BigQuery', 'Google cloud platform', 'Python', 'Angielski (B2)'];['Tableau', 'Qlik Sense', 'Power BI'];Praca zdalna;data engineer;15120;26040;PLN;
Data Engineer;BlueLabs;Senior;['Data', 'Spark', 'SQL', 'MongoDB', 'PostgreSQL', 'Python', 'Java', 'Kinesis', 'Degree', 'Flink', 'Data warehouses', 'Kafka', 'RabbitMQ', 'Data Lake', 'Continuous integration', 'Golang', 'Docker', 'Distributed computing', 'Angielski'];['Communication skills', 'Data modelling', 'Argo', 'BI', 'Looker', 'Terraform', 'IaC', 'Grafana', 'Big Data', 'Kubernetes', 'GCP', 'dbt'];Praca zdalna;data engineer;19839;34268;PLN;
Data Engineer;AVENGA;Senior;['Data', 'Python', 'SQL', 'Snowflake', 'Docker', 'Polski', 'Angielski'];Brak;Praca zdalna;data engineer;23520;26880;PLN;
Senior Data Engineer (Manager);Data Science UA;Senior;['Data', 'Python', 'Data engineering', 'SQL', 'Azure Cloud', 'Azure Data Factory', 'dbt', 'Terraform', 'ETL', 'Git', 'Angielski (C1)'];Brak;Praca zdalna;data engineer;18168;19783;PLN;
Data Engineer;CHI Software;Mid;['Data', 'Snowflake', 'SQL', 'Python', 'Analytical skills', 'Data mapping', 'Data analysis', 'Data modelling', 'ETL', 'Data pipelines', 'Data engineering', 'AWS', 'dbt', 'Communication skills', 'Angielski (B2)'];['Data visualization'];Praca zdalna;data engineer;10093;20187;PLN;
Data Engineer (Fulfillment);Tesco Technology;Mid;['Data', 'Hadoop', 'Scala', 'Kafka', 'Kubernetes', 'Spark', 'Angielski (B2)'];['Spark Streaming', 'Hive', 'Functional programming'];Kraków;data engineer;20000;30000;PLN;
Data Engineer;Talent Hills;Mid;['Data', 'Python', 'Spark', 'Hive', 'Scala', 'Snowflake', 'AWS', 'Airflow', 'Athena', 'Kubernetes', 'SQL', 'MySQL', 'PostgreSQL', 'Polski', 'Angielski'];['Ruby on Rails', 'Golang'];Warszawa;data engineer;13000;19000;PLN;
Data Engineer - Fulfillment (part time);Tesco Technology;Mid;['Data', 'Hadoop', 'Scala', 'Kafka', 'Kubernetes', 'Spark', 'apachespark', 'Airflow', 'Angielski (B2)'];['Spark Streaming', 'Hive', 'Functional programming'];Kraków;data engineer;15000;23000;PLN;
Senior DataOps Engineer;AVENGA;Senior;['Data', 'Apache Airflow', 'Git', 'Python', 'SQL', 'dbt', 'AWS', 'GitLab', 'CI/CD', 'Angielski', 'Polski'];Brak;Praca zdalna;data engineer;26040;29400;PLN;
